Date,Ticker,BRIGADE.NS,DLF.NS,GODREJPROP.NS,IBREALEST.NS,LODHA.NS,OBEROIRLTY.NS,PHOENIXLTD.NS,PRESTIGE.NS,SOBHA.NS,SUNTECK.NS
2005-01-14,Volume,,,,1258667.0,,,,,,
2005-01-17,Adj Close,,,,71.57453918457031,,,,,,
2005-01-17,Close,,,,81.9000015258789,,,,,,
2005-01-17,High,,,,83.9000015258789,,,,,,
2005-01-17,Low,,,,81.30000305175781,,,,,,
2005-01-17,Open,,,,82.94999694824219,,,,,,
2005-01-17,Volume,,,,352140.0,,,,,,
2005-01-18,Adj Close,,,,70.61322021484375,,,,,,
2005-01-18,Close,,,,80.80000305175781,,,,,,
2005-01-18,High,,,,84.44999694824219,,,,,,
2005-01-18,Low,,,,80.0999984741211,,,,,,
2005-01-18,Open,,,,82.80000305175781,,,,,,
2005-01-18,Volume,,,,293449.0,,,,,,
2005-01-19,Adj Close,,,,67.816650390625,,,,,,
2005-01-19,Close,,,,77.5999984741211,,,,,,
2005-01-19,High,,,,82.30000305175781,,,,,,
2005-01-19,Low,,,,77.0,,,,,,
2005-01-19,Open,,,,82.30000305175781,,,,,,
2005-01-19,Volume,,,,344447.0,,,,,,
2005-01-20,Adj Close,,,,64.49573516845703,,,,,,
2005-01-20,Close,,,,73.80000305175781,,,,,,
2005-01-20,High,,,,78.25,,,,,,
2005-01-20,Low,,,,73.75,,,,,,
2005-01-20,Open,,,,78.25,,,,,,
2005-01-20,Volume,,,,304507.0,,,,,,
2005-01-24,Adj Close,,,,64.49573516845703,,,,,,
2005-01-24,Close,,,,73.80000305175781,,,,,,
2005-01-24,High,,,,73.80000305175781,,,,,,
2005-01-24,Low,,,,73.80000305175781,,,,,,
2005-01-24,Open,,,,73.80000305175781,,,,,,
